name,position,age,player_id,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
Alvin Kamara,RB,28.7,00-0033906,2019,1,1,13.0,0,0.0,0.0,0.0,0,0,11.0,2.0,1.0,0.9648147297557443,0,1.1818181818181819,0.0,171,797.0,5,3.0,1.0,32.0,-19.495856101382543,0,81,97,533.0,1,1.0,0.0,26.0,557.0,28.0,1.5469513437196158,0,-46.25030807740444,2.840463180077586,0.033497086222243073,4.284142730471949,0.0,167.52,248.52,14,0.194,0.0080545229244114,0.29455314648334213,0.29744361833952915,0.1411172888535875,0.03225806451612903,0.14285714285714285,0.1277533039647577,0.08668767668485827,0.11934544398609583,1.066,0.17843449791065352
Amari Cooper,WR,29.8,00-0031544,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,6.0,0,0.0,0.0,0.0,0.24029408756177872,0,79,119,1189.0,8,0.0,0.0,1523.0,240.0,54.0,52.46482919690407,0,11.471967434419403,3.2151632032158153,4.521685318137819,7.987924527520196,0.0,167.5,246.5,16,0.19932998324958123,0.27133440228042044,0.1276595744680851,0.5160624966987082,0.24255405956752346,0.26666666666666666,0.23580786026200873,0.23938223938223938,0.25461036311709506,0.24737658098735213,1.9916247906197655,0.14781899519063552
Ameer Abdullah,RB,30.8,00-0032104,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,23,115.0,0,0.0,0.0,4.0,-3.6552155388182404,0,15,21,88.0,1,0.0,0.0,9.0,79.0,5.0,-5.760436245083163,0,-5.195833333333333,0.7710335951715263,-0.020405674523927983,1.1422664205905397,0.0,26.3,41.300000000000004,11,0.06840390879478828,0.004030452306314375,0.07123534715960325,0.10583022503723391,0.03864734299516908,0.07142857142857142,0.049019607843137254,0.05172413793103448,0.055037957211870256,0.04520358868184955,0.28664495114006516,0.04796302318019232
Andre Patton,WR,26.9,00-0033705,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,17,56.0,0,0.0,0.0,272.0,28.0,4.0,-0.18175898535787027,0,5.520408163265307,0.5058246605148133,0.8583703433269516,1.359596231101086,0.0,5.6000000000000005,11.6,7,0.06367041198501873,0.12836243511090137,0.028836251287332648,0.19819556606624922,0.027874564459930314,0.0,0.043010752688172046,0.038834951456310676,0.013937282229965157,0.02229965156794425,0.20973782771535582,0.01872598715009847
Andre Roberts,WR,36.1,00-0027691,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,7.0,0,0.0,0.0,0.0,-0.0024575337301939726,0,3,7,20.0,0,0.0,0.0,109.0,5.0,1.0,-2.4162485988927074,0,1.6850657108721623,0.22464665415884927,0.36998005079468826,0.5959560167945557,0.0,2.7,5.700000000000001,5,0.041666666666666664,0.0699614890885751,0.011441647597254004,0.11846919127086009,0.018083182640144666,0.0,0.018518518518518517,0.01694915254237288,0.009041591320072333,0.014466546112115734,0.11904761904761904,0.01514587872668332
Andrew Beck,RB,27.9,00-0034959,2019,1,1,6.0,0,0.0,0.0,0.0,0,0,-3.0,9.0,1.0,2.3515461592469364,0,0.0,0.0,1,3.0,0,0.0,0.0,1.0,0.6901791433338076,0,9,12,90.0,1,0.0,0.0,26.0,67.0,6.0,5.612248065997846,0,-22.354761904761908,0.4171489787588859,0.1446690773053958,0.7269918222521059,0.0,15.540000000000001,24.54,9,0.045283018867924525,0.0145413870246085,0.07188841201716738,0.0795576379215736,0.05244755244755245,0.125,0.07058823529411765,0.07526881720430108,0.08872377622377622,0.06695804195804196,0.33962264150943394,0.04087002864565985
Andy Dalton,QB,36.4,00-0027973,2019,314,528,3494.0,16,14.0,37.0,249.0,5,4,4278.0,1547.0,170.0,-16.008740016218745,1,10.7870686110771,0.6645412118766016,32,73.0,4,3.0,0.0,12.0,3.399864376390089,1,1,1,-4.0,0,0.0,0.0,-8.0,4.0,0.0,-2.392177599715069,0,0.0,0.020833333333333332,-0.0182648401826484,0.018464611872146118,0.0,202.66000000000003,203.66000000000003,13,0.001890359168241966,-0.001860032550569635,0.0025806451612903226,0.001347512711907241,-0.0011363636363636363,0.0,0.0,0.0,-0.0005681818181818182,-0.0009090909090909091,-0.007561436672967864,0.18583812391641574
Andy Isabella,WR,27.4,00-0035527,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,15.0,0,0.0,0.0,0.0,-1.1012958759674802,0,9,13,189.0,1,0.0,0.0,82.0,140.0,4.0,11.823979745262886,0,7.577922077922078,0.43919149606712804,0.5252062357900442,1.026431609153723,0.0,26.400000000000002,35.4,9,0.04710144927536232,0.04261954261954262,0.13333333333333333,0.10474780800867758,0.09869451697127937,0.1,0.0425531914893617,0.04807692307692308,0.09934725848563969,0.09895561357702351,0.6847826086956522,0.0478249121858957
Andy Janovich,RB,29.8,00-0032956,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,1,0.0,0.0,1.0,1.2149421781650744,0,5,5,42.0,0,0.0,0.0,9.0,33.0,1.0,0.6856973750400357,0,9.333333333333332,0.16550786378372584,0.046120458762633446,0.2805461168094322,0.0,10.3,15.3,4,0.03731343283582089,0.008555133079847909,0.09295774647887324,0.06281425571760967,0.0498812351543943,0.0,0.029411764705882353,0.02857142857142857,0.02494061757719715,0.03990498812351544,0.31343283582089554,0.057958936283051744
Anthony Firkser,TE,29.1,00-0033455,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,14,24,204.0,1,0.0,0.0,222.0,71.0,9.0,-1.0862801145568195,0,9.359674160964484,0.9286636868147757,0.7922174364993453,1.9475477357717053,0.0,26.4,40.4,10,0.08304498269896193,0.07900355871886121,0.06513761467889909,0.18777032102353186,0.0790391321193336,0.05,0.075,0.07142857142857142,0.0645195660596668,0.07323130569546688,0.7058823529411765,0.04217383134643088
